event #	radiation dosage #	temperature (thremosistor ohms)	fall time (s)	cap voltage	risetime (s)	distange (mm) [major reticle lines are .5 mm]	pressure (cm Mg)
0	0	2.06	82.90	499.2	6.96	2	76.2
1	0	2.05	22.11	500.3	15.00	2	
2	0	2.04	42.36	500.6		2	
2	0	2.04	44.75	500.8	12.15	2	
2	0	2.04	44.13	500.9	12.00	2	
2	1	2.04	43.65		32.71	2	
3	0	2.01	23.50	501.1	33.80	2	
3	0	2.01	23.51	501.1	31.73	2	
3	1	2.01	23.26	501.1	88.00	2	
3	1	2.01	23.26	501.1	82.66	2	
3	1	2.00	23.46	501.1	83.85	2	
3	2	1.99	23.80	501.2	83.91	2	
3	2	1.99	24.06	501.2	81.61	2	
3	2	1.99	24.33	921.0	17.10	2	
3	2	1.98	23.80	921.0	17.56	2	
3	2	1.98	23.11	921.1	16.98	2	
4	0	1.97	67.50	499.5	12.51	2	
4	0	1.97	70.28	499.5	53.26	2	
4	0	1.96	64.76	1019.5	19.43	2	
4	0	1.96	67.41				
5	0	1.95	32.91	1213.3	13.16	2	
5	0	1.94	35.60	1213.5	13.16	2	
5	0	1.94	34.58	1213.7	13.16	2	
5	1	1.94	32.18	474.1	10.56	2	
5	1	1.94	33.18	474.1	10.71	2	
5	1	1.94	33.45	474.1	10.31	2	
5	1	1.94	32.18	474.1	10.41	2	
5	2	1.94	34.03	474.0	10.68	2	
5	2	1.94	32.08	474.0	10.51	2	
5	2	1.93	32.05	474.0	8.63	2	
5	2	1.93	32.26	474.0	8.58	2	
5	2	1.93	32.78	474.0	8.56	2	
5	2	1.93	35.18	474.0	8.58	2	
5	2	1.93	33.06	474.0	13.71	2	
5	2	1.93	32.58	474.0	13.56	2	
5	2	1.93	33.03	474.0	13.23	2	
5	2	1.92	33.15	474.0	10.65	2	
5	2	1.92	31.91	474.0	19.56	2	
5	2	1.93	32.81	474.0	18.91	2	
5	2	1.92	33.61	474.0	19.21	2	75.86
6	0	1.91	11.73	1013.1	7.40	2	
6	0	1.91	11.51	1013.0	7.33	2	
6	0	1.91	11.31	1013.0	7.23	2	
6	0	1.91	11.71	1013.0	7.21	2	
6	0	1.91	11.76	1013.0	7.28	2	
6	0	1.91	11.51	1013.1	7.53	2	
6	0	1.91	11.78	1013.0	7.51	2	
6	0	1.91	11.90	1013.0	7.45	2	
